latitude,longitude,name
-3.610685,39.85288,School
-3.610479,39.852119,Bus stop1
-3.609722,39.850457,Bus stop2
-3.609469,39.849966,Bus stop3
-3.607388,39.845021,Bus stop4
-3.606254,39.842621,Bus stop5
-3.604476,39.838555,Bus stop6
-3.602875,39.835407,Bus stop7
-3.601895,39.833736,Bus stop8
-3.601747,39.833329,Bus stop9
-3.603953,39.828303,Bus stop10
-3.603547,39.829408,Bus stop11
-3.601728,39.833275,Bus stop12
-3.590746,39.828184,Bus stop13
-3.589128,39.828191,Bus stop14
-3.583457,39.829908,Bus stop15
-3.578289,39.831503,Bus stop16
-3.577512,39.827647,Bus stop17
-3.576534,39.822212,Bus stop18
-3.572516,39.82019,Bus stop19
-3.576542,39.822225,Bus stop20
-3.578211,39.831443,Bus stop21
-3.574644,39.832757,Bus stop22
-3.567518,39.835181,Bus stop23
-3.564936,39.836129,Bus stop24
-3.564785,39.836072,Bus stop25
-3.566931,39.835363,Bus stop26
-3.578058,39.831577,Bus stop27
-3.57831,39.831769,Bus stop28
-3.579554,39.83795,Bus stop29
-3.580372,39.842237,Bus stop30
-3.58071,39.842961,Bus stop31
-3.583386,39.842561,Bus stop32
-3.585771,39.842225,Bus stop33
-3.588941,39.841542,Bus stop34
-3.589613,39.841435,Bus stop35
-3.590409,39.841066,Bus stop36
-3.58969,39.837729,Bus stop37
-3.589788,39.838173,Bus stop38
-3.590408,39.841055,Bus stop39
-3.590529,39.841665,Bus stop40
-3.59095,39.845462,Bus stop41
-3.590731,39.849005,Bus stop42
-3.592117,39.849926,Bus stop43
-3.5926,39.850166,Bus stop44
-3.593089,39.851368,Bus stop45
-3.594341,39.851679,Bus stop46
-3.596828,39.852378,Bus stop47
-3.597412,39.851816,Bus stop48
-3.597453,39.851528,Bus stop49
-3.599991,39.850798,Bus stop50
-3.600416,39.853791,Bus stop51
-3.59809,39.853818,Bus stop52
-3.598225,39.854955,Bus stop53
-3.598898,39.858242,Bus stop54
-3.594485,39.861057,Bus stop55
-3.593904,39.860689,Bus stop56
-3.59433,39.861026,Bus stop57
-3.595982,39.860052,Bus stop58
-3.594473,39.857826,Bus stop59
-3.594003,39.857905,Bus stop60
-3.593669,39.855895,Bus stop61
-3.591472,39.8564,Bus stop62
-3.588472,39.85736,Bus stop63
-3.586199,39.844896,Bus stop64
-3.585908,39.843095,Bus stop65
-3.585832,39.842256,Bus stop66
-3.585831,39.842276,Bus stop67
-3.58054,39.842952,Bus stop68
-3.5792,39.836141,Bus stop69
-3.579199,39.836139,Bus stop70
-3.578267,39.831579,Bus stop71
-3.578295,39.831522,Bus stop72
-3.583345,39.829951,Bus stop73
-3.59149,39.828289,Bus stop74
-3.596658,39.830581,Bus stop75
-3.600926,39.83306,Bus stop76
-3.601621,39.833257,Bus stop77
-3.601923,39.83376,Bus stop78
-3.602883,39.835402,Bus stop79
-3.603539,39.836751,Bus stop80
-3.606262,39.842646,Bus stop81
-3.610675,39.853018,Bus stop82
-3.611356,39.85411,Bus stop83
-3.623433,39.849763,Bus stop84
-3.624467,39.850511,Bus stop85
-3.631878,39.851433,Bus stop86
-3.632097,39.851822,Bus stop87
-3.632097,39.851819,Bus stop88
